infMethod,nDocs,time
Incremental_MH_noCPS,5,0.800326225
Incremental_MH_noCPS,5,0.831089327
Incremental_MH_noCPS,5,0.835767194
Incremental_MH_noCPS,5,0.868331923
Incremental_MH_noCPS,5,0.853892339
Incremental_MH_noCPS,5,0.85021832
Incremental_MH_noCPS,5,0.832588706
Incremental_MH_noCPS,5,0.832540333
Incremental_MH_noCPS,5,0.875833119
Incremental_MH_noCPS,5,0.874727242
Incremental_MH_noCPS,5,0.944986862
Incremental_MH_noCPS,10,1.160617571
Incremental_MH_noCPS,10,0.906213818
Incremental_MH_noCPS,10,0.919410208
Incremental_MH_noCPS,10,0.954793399
Incremental_MH_noCPS,10,0.991379824
Incremental_MH_noCPS,10,0.921526821
Incremental_MH_noCPS,10,0.964338482
Incremental_MH_noCPS,10,0.897137538
Incremental_MH_noCPS,10,0.925852076
Incremental_MH_noCPS,10,0.94996003
Incremental_MH_noCPS,10,0.957005225
Incremental_MH_noCPS,10,0.957902505
Incremental_MH_noCPS,10,0.959443069
Incremental_MH_noCPS,10,0.967601106
Incremental_MH_noCPS,10,1.084698092
Incremental_MH_noCPS,10,0.955640389
Incremental_MH_noCPS,10,0.906129298
Incremental_MH_noCPS,10,0.938553012
Incremental_MH_noCPS,10,0.95365885
Incremental_MH_noCPS,10,0.922468875
Incremental_MH_noCPS,15,1.014141479
Incremental_MH_noCPS,15,1.019597014
Incremental_MH_noCPS,15,1.061509855
Incremental_MH_noCPS,15,1.054703378
Incremental_MH_noCPS,15,1.024205544
Incremental_MH_noCPS,15,1.053317398
Incremental_MH_noCPS,15,1.051392162
Incremental_MH_noCPS,15,1.066403437
Incremental_MH_noCPS,15,1.036177304
Incremental_MH_noCPS,15,1.289446442
Incremental_MH_noCPS,15,1.021517199
Incremental_MH_noCPS,15,1.026417628
Incremental_MH_noCPS,15,1.058072273
Incremental_MH_noCPS,15,1.053431047
Incremental_MH_noCPS,15,1.059944511
Incremental_MH_noCPS,15,1.070166632
Incremental_MH_noCPS,15,1.052039024
Incremental_MH_noCPS,15,1.061132603
Incremental_MH_noCPS,15,1.059627032
Incremental_MH_noCPS,15,1.068566669
Incremental_MH_noCPS,20,1.174914897
Incremental_MH_noCPS,20,1.161078203
Incremental_MH_noCPS,20,1.123452665
Incremental_MH_noCPS,20,1.193833691
Incremental_MH_noCPS,20,1.208002143
Incremental_MH_noCPS,20,1.166186965
Incremental_MH_noCPS,20,1.228762634
Incremental_MH_noCPS,20,1.229341488
Incremental_MH_noCPS,20,1.314083283
Incremental_MH_noCPS,20,1.1375817559999999
Incremental_MH_noCPS,20,1.134065237
Incremental_MH_noCPS,20,1.097835287
Incremental_MH_noCPS,20,1.150862408
Incremental_MH_noCPS,20,1.12187179
Incremental_MH_noCPS,20,1.164372161
Incremental_MH_noCPS,20,1.117861291
Incremental_MH_noCPS,20,1.208194226
Incremental_MH_noCPS,20,1.188669743
Incremental_MH_noCPS,20,1.1957599939999999
Incremental_MH_noCPS,20,1.200595494
Incremental_MH_noCPS,25,1.223975058
Incremental_MH_noCPS,25,1.29255272
Incremental_MH_noCPS,25,1.333994705
Incremental_MH_noCPS,25,1.290334994
Incremental_MH_noCPS,25,1.3298764699999999
Incremental_MH_noCPS,25,1.369390885
Incremental_MH_noCPS,25,1.3201191589999999
Incremental_MH_noCPS,25,1.342091633
Incremental_MH_noCPS,25,1.358248986
Incremental_MH_noCPS,25,1.5807046919999999
Incremental_MH_noCPS,25,1.217354951
Incremental_MH_noCPS,25,1.22789949
Incremental_MH_noCPS,25,1.2662174400000001
Incremental_MH_noCPS,25,1.271797454
Incremental_MH_noCPS,25,1.291346742
Incremental_MH_noCPS,25,1.307941356
Incremental_MH_noCPS,25,1.306525282
Incremental_MH_noCPS,25,1.26659335
Incremental_MH_noCPS,25,1.3138608299999999
Incremental_MH_noCPS,25,1.333432525
Incremental_MH_noCPS,30,1.420866509
Incremental_MH_noCPS,30,1.403973924
Incremental_MH_noCPS,30,1.39962035
Incremental_MH_noCPS,30,1.469914216
Incremental_MH_noCPS,30,1.419476697
Incremental_MH_noCPS,30,1.395294896
Incremental_MH_noCPS,30,1.40826643
Incremental_MH_noCPS,30,1.459535553
Incremental_MH_noCPS,30,1.507072516
Incremental_MH_noCPS,30,1.463112449
Incremental_MH_noCPS,30,1.539036557
Incremental_MH_noCPS,30,1.458396658
Incremental_MH_noCPS,30,1.749832136
Incremental_MH_noCPS,30,1.344846198
Incremental_MH_noCPS,30,1.289233164
Incremental_MH_noCPS,30,1.299896492
Incremental_MH_noCPS,30,1.393183706
Incremental_MH_noCPS,30,1.336892675
Incremental_MH_noCPS,30,1.403830254
Incremental_MH_noCPS,30,1.389154382
Incremental_MH_noCPS,35,1.458641879
Incremental_MH_noCPS,35,1.492496995
Incremental_MH_noCPS,35,1.442250805
Incremental_MH_noCPS,35,1.446554377
Incremental_MH_noCPS,35,1.4488135
Incremental_MH_noCPS,35,1.485479855
Incremental_MH_noCPS,35,1.5294816249999998
Incremental_MH_noCPS,35,1.5353737710000002
Incremental_MH_noCPS,35,1.519777805
Incremental_MH_noCPS,35,1.546464796
Incremental_MH_noCPS,35,1.780987064
Incremental_MH_noCPS,35,1.559509236
Incremental_MH_noCPS,35,1.5258639010000001
Incremental_MH_noCPS,35,1.575821806
Incremental_MH_noCPS,35,1.6225137969999999
Incremental_MH_noCPS,35,1.577594596
Incremental_MH_noCPS,35,1.870434522
Incremental_MH_noCPS,35,1.566395803
Incremental_MH_noCPS,35,1.43206755
Incremental_MH_noCPS,35,1.563550411
Incremental_MH_noCPS,40,1.610899372
Incremental_MH_noCPS,40,1.5127643179999999
Incremental_MH_noCPS,40,1.5796047880000001
Incremental_MH_noCPS,40,1.572018079
