infMethod,nObservations,time
Incremental_MH,100,1.024306259
Incremental_MH,100,0.964316045
Incremental_MH,100,0.945451535
Incremental_MH,100,0.931695865
Incremental_MH,100,0.947817902
Incremental_MH,100,1.015709043
Incremental_MH,100,0.983638975
Incremental_MH,100,0.9924722
Incremental_MH,100,0.951445101
Incremental_MH,100,0.967537326
Incremental_MH,100,0.949238644
Incremental_MH,100,0.965391207
Incremental_MH,100,0.932346296
Incremental_MH_noCPS,10,2.423669464
Incremental_MH_noCPS,10,2.374323366
Incremental_MH_noCPS,10,2.497232891
Incremental_MH_noCPS,10,2.5506519709999997
Incremental_MH_noCPS,10,2.505360331
Incremental_MH_noCPS,10,2.431937732
Incremental_MH_noCPS,10,2.593507748
Incremental_MH_noCPS,10,2.461300803
Incremental_MH_noCPS,10,2.602378538
Incremental_MH_noCPS,10,2.596063702
Incremental_MH_noCPS,10,2.683706972
Incremental_MH_noCPS,10,2.5972582810000002
Incremental_MH_noCPS,10,2.67733078
Incremental_MH_noCPS,10,2.594216354
Incremental_MH_noCPS,10,2.705530343
Incremental_MH_noCPS,10,2.726622048
Incremental_MH_noCPS,10,2.671540583
Incremental_MH_noCPS,10,2.772844507
Incremental_MH_noCPS,10,2.6766418290000003
Incremental_MH_noCPS,10,2.585010093
Incremental_MH_noCPS,20,4.492454071
Incremental_MH_noCPS,20,4.373329244
Incremental_MH_noCPS,20,4.548453718
Incremental_MH_noCPS,20,4.608185587
Incremental_MH_noCPS,20,4.855637005
Incremental_MH_noCPS,20,4.705320796
Incremental_MH_noCPS,20,4.659168993
Incremental_MH_noCPS,20,4.47729135
Incremental_MH_noCPS,20,4.675157953
Incremental_MH_noCPS,20,4.754120387
Incremental_MH_noCPS,20,4.771772001
Incremental_MH_noCPS,20,5.102802096
Incremental_MH_noCPS,20,5.09441431
Incremental_MH_noCPS,20,5.137694159
Incremental_MH_noCPS,20,4.847484339
Incremental_MH_noCPS,20,4.723866773
Incremental_MH_noCPS,20,4.992676396
Incremental_MH_noCPS,20,4.933850004
Incremental_MH_noCPS,20,5.112701636
Incremental_MH_noCPS,20,5.063813739
Incremental_MH_noCPS,30,7.362120729
Incremental_MH_noCPS,30,7.5841479750000005
Incremental_MH_noCPS,30,7.753843283
Incremental_MH_noCPS,30,7.870952528
Incremental_MH_noCPS,30,6.633065386
Incremental_MH_noCPS,30,6.742291588
Incremental_MH_noCPS,30,7.145891771
Incremental_MH_noCPS,30,7.243057691
Incremental_MH_noCPS,30,7.325093546
Incremental_MH_noCPS,30,7.26570974
Incremental_MH_noCPS,30,7.751453605
Incremental_MH_noCPS,30,7.622144796
Incremental_MH_noCPS,30,6.711510033
Incremental_MH_noCPS,30,7.038936956
