model,infMethod,modelSize,time
lda,Lightweight_MH,10,19.875908207
lda,Lightweight_MH,10,21.313366414
lda,Lightweight_MH,10,22.421351908
lda,Lightweight_MH,10,19.449802555
lda,Lightweight_MH,10,19.71391155
lda,Lightweight_MH,10,21.420554252
lda,Lightweight_MH,10,22.669712593
lda,Lightweight_MH,10,18.941206995
lda,Lightweight_MH,10,19.92448854
lda,Lightweight_MH,10,22.270077468
lda,Lightweight_MH,10,19.943024321
lda,Lightweight_MH,10,19.685487412
lda,Lightweight_MH,10,22.478633754
lda,Lightweight_MH,10,23.693645601
lda,Lightweight_MH,10,19.643273369
lda,Lightweight_MH,10,21.140254348
lda,Lightweight_MH,10,22.788075579
lda,Incremental_MH,1,0.307104275
lda,Incremental_MH,1,0.273532197
lda,Incremental_MH,1,0.263715934
lda,Incremental_MH,1,0.279454835
lda,Incremental_MH,1,0.26512246
lda,Incremental_MH,1,0.25715553
lda,Incremental_MH,1,0.252795089
lda,Incremental_MH,1,0.254820376
lda,Incremental_MH,1,0.297971773
lda,Incremental_MH,1,0.260582965
lda,Incremental_MH,1,0.258117851
lda,Incremental_MH,1,0.255927578
lda,Incremental_MH,1,0.261686139
lda,Incremental_MH,1,0.24942245
lda,Incremental_MH,1,0.246384356
lda,Incremental_MH,1,0.26231495
lda,Incremental_MH,1,0.25996645
lda,Incremental_MH,1,0.25382348
lda,Incremental_MH,1,0.250772769
lda,Incremental_MH,1,0.25604432
lda,Incremental_MH,2,0.250917803
lda,Incremental_MH,2,0.247757741
lda,Incremental_MH,2,0.243992583
lda,Incremental_MH,2,0.252714867
lda,Incremental_MH,2,0.242743614
lda,Incremental_MH,2,0.253060704
lda,Incremental_MH,2,0.252479637
lda,Incremental_MH,2,0.251669392
lda,Incremental_MH,2,0.275654943
lda,Incremental_MH,2,0.275996105
lda,Incremental_MH,2,0.268409961
lda,Incremental_MH,2,0.255181263
lda,Incremental_MH,2,0.253329872
lda,Incremental_MH,2,0.266016043
lda,Incremental_MH,2,0.254517203
lda,Incremental_MH,2,0.259830418
lda,Incremental_MH,2,0.260256266
lda,Incremental_MH,2,0.262451854
lda,Incremental_MH,2,0.259277865
lda,Incremental_MH,2,0.259921834
lda,Incremental_MH,3,0.288528133
lda,Incremental_MH,3,0.28576807
lda,Incremental_MH,3,0.277196522
lda,Incremental_MH,3,0.260955875
lda,Incremental_MH,3,0.285357862
lda,Incremental_MH,3,0.273619697
lda,Incremental_MH,3,0.271373724
lda,Incremental_MH,3,0.267878294
lda,Incremental_MH,3,0.281327347
lda,Incremental_MH,3,0.270587263
lda,Incremental_MH,3,0.264385056
lda,Incremental_MH,3,0.266660146
lda,Incremental_MH,3,0.266232445
lda,Incremental_MH,3,0.273981557
lda,Incremental_MH,3,0.283168679
lda,Incremental_MH,3,0.269591197
lda,Incremental_MH,3,0.284700473
lda,Incremental_MH,3,0.276075847
lda,Incremental_MH,3,0.269404953
lda,Incremental_MH,3,0.263922599
lda,Incremental_MH,4,0.270120605
lda,Incremental_MH,4,0.316263423
lda,Incremental_MH,4,0.309017412
lda,Incremental_MH,4,0.288619508
lda,Incremental_MH,4,0.285632841
lda,Incremental_MH,4,0.295406999
lda,Incremental_MH,4,0.286166091
lda,Incremental_MH,4,0.303924139
lda,Incremental_MH,4,0.278428909
lda,Incremental_MH,4,0.279701973
lda,Incremental_MH,4,0.287498533
lda,Incremental_MH,4,0.290111263
lda,Incremental_MH,4,0.282999886
lda,Incremental_MH,4,0.306718272
lda,Incremental_MH,4,0.297794612
lda,Incremental_MH,4,0.293415573
lda,Incremental_MH,4,0.284762939
lda,Incremental_MH,4,0.279885378
lda,Incremental_MH,4,0.279005615
lda,Incremental_MH,4,0.319479076
lda,Incremental_MH,5,0.303683605
lda,Incremental_MH,5,0.287431454
lda,Incremental_MH,5,0.292284447
lda,Incremental_MH,5,0.305434001
lda,Incremental_MH,5,0.296411096
lda,Incremental_MH,5,0.311042001
lda,Incremental_MH,5,0.303965182
lda,Incremental_MH,5,0.296047437
lda,Incremental_MH,5,0.32179491
